1,2,3,4,5,6,7,8,9,10,11,12,Ans
0.280964,0.184997,0.111779,0.0762962,0.0436146,0.0175065,0.0089459,0.0124743,0.0179073,0.0210891,0.0213581,0.380124,1
0.282466,0.231345,0.158655,0.0933063,0.0489391,0.0212304,0.0196106,0.012308,0.0167179,0.0173281,0.0194084,0.377836,1
0.229933,0.19316,0.110746,0.0806075,0.0581945,0.0161345,0.0123809,0.0112918,0.0135178,0.0160879,0.0171741,0.382751,1
0.28119,0.190646,0.115566,0.0931533,0.0650525,0.0168086,0.0171523,0.0154335,0.0112937,0.0130527,0.0151191,0.380069,1
0.268046,0.16387,0.120288,0.0953304,0.0475759,0.016184,0.0144577,0.0106839,0.0120442,0.0101078,0.0113393,0.383866,1
0.252196,0.188481,0.108321,0.0514427,0.0391847,0.0158981,0.0163342,0.00950773,0.010228,0.0133357,0.0224302,0.38067,1
0.281797,0.199627,0.122177,0.0780674,0.0399664,0.0259066,0.011223,0.0114172,0.0107942,0.0194317,0.0250062,0.379914,1
0.246065,0.168429,0.111732,0.0678521,0.0513153,0.0177536,0.0165973,0.0135438,0.0135196,0.0197385,0.0168421,0.371648,1
0.250512,0.158693,0.091972,0.0672242,0.0563032,0.0109551,0.0165496,0.013229,0.0134005,0.0136166,0.0139068,0.374768,1
0.23151,0.157873,0.0981893,0.0676158,0.0265265,0.0135365,0.0147464,0.0137477,0.0165749,0.0143562,0.0153953,0.379104,1
0.288635,0.244821,0.184583,0.118407,0.0645262,0.0138873,0.00859831,0.0123814,0.0176304,0.0250225,0.0304118,0.374714,1
0.21939,0.168674,0.101538,0.102867,0.0355086,0.0117953,0.0142698,0.00938673,0.0147077,0.0164993,0.0215829,0.371061,1
0.268678,0.152787,0.143395,0.0899378,0.0421486,0.0217205,0.0141665,0.0128339,0.0114152,0.0175287,0.0223252,0.374544,1
0.263177,0.14959,0.120025,0.0770559,0.0411228,0.0189397,0.0155857,0.0134882,0.0169541,0.0130622,0.0136229,0.384053,1
0.243504,0.207117,0.0825881,0.0663353,0.0487207,0.0148852,0.0168721,0.00994567,0.0105845,0.0141138,0.0153874,0.378741,1
0.27194,0.153412,0.0986734,0.0600785,0.047713,0.0166219,0.0166005,0.0179941,0.0139034,0.0151015,0.0229572,0.388742,1
0.269006,0.1637,0.131153,0.0984604,0.0422894,0.0158384,0.0154102,0.01113,0.0112707,0.0132691,0.0148224,0.379163,1
0.283032,0.234206,0.160925,0.0966985,0.0520931,0.0200473,0.0212859,0.019558,0.0169238,0.0182651,0.0207193,0.379447,1
0.181766,0.150008,0.120363,0.0746768,0.0402862,0.0159036,0.015249,0.0101159,0.0111668,0.011418,0.0135663,0.381009,1
0.285444,0.206229,0.119594,0.0777297,0.0545694,0.012401,0.00646274,0.00817193,0.0112699,0.0156676,0.0230019,0.385726,1
0.291077,0.248112,0.178255,0.112805,0.0604802,0.0135841,0.0126074,0.0099964,0.019449,0.0209118,0.0233708,0.385544,1
0.285663,0.246428,0.193035,0.128134,0.0736013,0.0134867,0.0120183,0.0142548,0.0196456,0.0260071,0.030494,0.378758,1
0.270141,0.141194,0.120912,0.10634,0.0637549,0.0351405,0.0124898,0.0129156,0.00972949,0.0158012,0.0186341,0.376568,1
0.27983,0.207967,0.130813,0.09485,0.0657264,0.0211206,0.0252162,0.0173958,0.0137365,0.0166123,0.0149524,0.382537,1
0.281068,0.194675,0.106064,0.0801367,0.0633342,0.0141764,0.0164227,0.0116932,0.0140586,0.0152844,0.0171083,0.383895,1
0.279339,0.236539,0.165304,0.0955567,0.0450803,0.0270674,0.0127574,0.00987073,0.00843862,0.0169864,0.0143031,0.368588,1
0.222245,0.143524,0.0947829,0.0656259,0.0492892,0.0124486,0.0099707,0.0120889,0.0170741,0.0135605,0.0134171,0.373175,1
0.260067,0.159019,0.114188,0.0873673,0.0440303,0.0193975,0.0113468,0.0104225,0.0138041,0.0177665,0.0209262,0.373813,1
0.254366,0.178929,0.0870446,0.0945949,0.0489868,0.0185338,0.0114351,0.0134657,0.0131841,0.0178142,0.0204861,0.379417,1
0.256129,0.19173,0.109209,0.0748094,0.0440447,0.015713,0.0185404,0.0154005,0.0171364,0.0124225,0.0144743,0.373457,1
