1,2,3,4,5,6,7,8,9,10,11,12,Ans
0.0303495,0.0307569,0.0316598,0.0298048,0.0452802,0.0339489,0.0334749,0.0370525,0.0290064,0.0305538,0.0294979,0.531025,2
0.0296839,0.0337827,0.0240076,0.0319182,0.0766271,0.0300775,0.0411109,0.0322185,0.0248283,0.0296793,0.0239304,0.471102,2
0.0281355,0.0495004,0.0480333,0.0440063,0.0962233,0.0717448,0.0405088,0.0814303,0.0548485,0.0470081,0.04177,0.670785,2
0.0281638,0.0288414,0.045056,0.0367375,0.12573,0.0734097,0.0672246,0.0412971,0.045799,0.0360307,0.0451648,0.657814,2
0.031001,0.0247646,0.0385554,0.0282695,0.136289,0.0572245,0.0744055,0.0518198,0.0552429,0.0347526,0.0345484,0.640458,2
0.034664,0.0374109,0.0496608,0.035179,0.109908,0.0564699,0.0577568,0.0508964,0.0412457,0.0348074,0.0365297,0.645782,2
0.0340002,0.0323651,0.0448967,0.0355844,0.12975,0.0620579,0.0593296,0.0582649,0.0642094,0.0411367,0.0413189,0.659267,2
0.0305126,0.0361402,0.055965,0.0406076,0.162955,0.0597796,0.0779689,0.0716442,0.0564645,0.0388237,0.0350092,0.713816,2
0.034214,0.0291454,0.0497804,0.0461229,0.125947,0.0469854,0.068733,0.0501969,0.0490732,0.0519701,0.0388999,0.664195,2
0.0356132,0.0447931,0.044044,0.0343673,0.116111,0.0567893,0.0728463,0.0434704,0.0594387,0.0394589,0.0432731,0.667819,2
0.0446719,0.0415765,0.0364911,0.0349399,0.157127,0.0613758,0.050949,0.0584078,0.0506465,0.0346378,0.0307136,0.655536,2
0.0287985,0.0427703,0.0390777,0.0349398,0.0979726,0.0755577,0.0830046,0.0503444,0.0603313,0.0243634,0.0455234,0.647991,2
0.0324158,0.0519797,0.0408951,0.0309235,0.117691,0.06268,0.0519249,0.053718,0.0428205,0.0435322,0.0357138,0.63965,2
0.0449231,0.0290499,0.0337374,0.0341222,0.132879,0.0634239,0.0656299,0.060687,0.0415678,0.0376981,0.0379423,0.661772,2
0.0294953,0.0410734,0.0321064,0.0348991,0.0944507,0.0490929,0.0497514,0.0612729,0.0539262,0.0465937,0.0581582,0.654964,2
0.0326483,0.0349766,0.0433807,0.0318679,0.119855,0.0488653,0.0734064,0.0599927,0.0453444,0.0477708,0.0497183,0.638028,2
0.0479188,0.0497335,0.0374883,0.0301618,0.142996,0.0638118,0.0631842,0.0620922,0.057712,0.0570697,0.0382859,0.684769,2
0.042645,0.0510849,0.0406013,0.0222278,0.137713,0.0585221,0.0641672,0.0459946,0.0487205,0.03519,0.049639,0.643551,2
0.0473506,0.0373785,0.0367301,0.0429916,0.121511,0.0579054,0.0658274,0.0455457,0.0454128,0.0338964,0.0369713,0.646262,2
0.0277861,0.0395525,0.0277183,0.0423897,0.125126,0.0602884,0.0555121,0.0547826,0.0570297,0.0385162,0.0405527,0.632145,2
0.0427569,0.0364869,0.0389302,0.0296537,0.155305,0.0475771,0.0757173,0.0803292,0.0659087,0.0414172,0.0249406,0.663121,2
0.032126,0.0353464,0.037583,0.0271175,0.1037,0.0668598,0.0514654,0.0439736,0.037317,0.0574426,0.0367522,0.595437,2
