1,2,3,4,5,6,7,8,9,10,11,12,Ans
0.553203,0.132408,0.0844504,0.0659019,0.038393,0.0153572,0.0238651,0.0152214,0.01663,0.011592,0.0103245,0.727572,9
0.782374,0.19295,0.0973476,0.0575968,0.0221321,0.0116322,0.0194914,0.0102482,0.0104274,0.0106281,0.0146216,0.729646,9
0.857974,0.173142,0.0949633,0.0509941,0.0297392,0.0140876,0.0181408,0.00953294,0.0112771,0.00899381,0.0111218,0.725414,9
0.715948,0.176416,0.120889,0.0517324,0.0264324,0.0155697,0.0172439,0.0151062,0.0128808,0.00934983,0.0109466,0.728415,9
0.610343,0.155875,0.117238,0.0757851,0.0284767,0.0171679,0.0170587,0.0159923,0.0121145,0.0101625,0.00980806,0.727423,9
0.558649,0.158199,0.129797,0.0995004,0.0577709,0.0176654,0.0138338,0.0113071,0.0132984,0.0158786,0.0162696,0.727085,9
0.748271,0.2131,0.0970154,0.0491617,0.0325554,0.0155902,0.020532,0.0169987,0.0127764,0.0128825,0.0113452,0.730867,9
0.761474,0.224604,0.115104,0.0678282,0.0263666,0.0217827,0.0225022,0.0142247,0.0119363,0.0123023,0.0135772,0.72322,9
0.8249,0.127983,0.093046,0.0690472,0.0433313,0.0119579,0.0195378,0.0161621,0.00937621,0.0123649,0.013654,0.723092,9
0.658807,0.19765,0.0971269,0.046084,0.0189379,0.0202381,0.0162362,0.00906208,0.0104435,0.00978417,0.01122,0.729222,9
0.789744,0.160282,0.0939322,0.0525449,0.0213145,0.0210863,0.0236664,0.0157293,0.0158123,0.01457,0.00884416,0.720445,9
0.812372,0.159739,0.0928928,0.0619945,0.0266063,0.0155787,0.023192,0.0154724,0.0125609,0.0102151,0.0131269,0.729001,9
0.608981,0.158328,0.136377,0.088327,0.0186226,0.0139408,0.0224376,0.015586,0.0143306,0.0121228,0.0146078,0.722349,9
0.596926,0.138373,0.0996734,0.0736416,0.0328321,0.0122272,0.0158741,0.00975628,0.00983156,0.0120618,0.00957644,0.718268,9
0.547034,0.118536,0.0871876,0.05209,0.0207696,0.0161087,0.0144602,0.0148965,0.0145681,0.0127414,0.0104297,0.715161,9
0.68125,0.158636,0.0840287,0.0492703,0.0317872,0.0159327,0.01253,0.0145189,0.00996083,0.00927827,0.00738792,0.725924,9
0.638874,0.142764,0.113029,0.0461072,0.0197736,0.0131917,0.0124766,0.0106153,0.011587,0.00915764,0.0119811,0.722361,9
0.601702,0.129529,0.0775837,0.0559765,0.0276578,0.0191829,0.024587,0.02158,0.0127613,0.0141774,0.0123101,0.718476,9
0.641572,0.137932,0.0832053,0.0639789,0.0183969,0.0158184,0.0198769,0.00869,0.0120469,0.00979619,0.0132892,0.717784,9
